Question,main,A,B,C,D,E,F,G,Answer
Question #1 Topic 1 ,"When an investigator contacts by telephone the domain administrator or controller listed by a Who is lookup to request all e-mails sent and received for a user account be preserved, what U.S.C. statute authorizes this phone call and obligates the ISP to preserve e-mail records?","Title 18, Section 1030 ","Title 18, Section 2703(d) ","Title 18, Section Chapter 90 ","Title 18, Section 2703(f) ",,,,"Title 18, Section 2703(f) "
Question #2 Topic 1 ,"Item 2If you come across a sheepdip machine at your client site, what would you infer?",A sheepdip coordinates several honeypots ,A sheepdip computer is another name for a honeypot ,A sheepdip computer is used only for virus-checking. ,A sheepdip computer defers a denial of service attack ,,,,A sheepdip computer is used only for virus-checking. 
Question #3 Topic 1 ,"In a computer forensics investigation, what describes the route that evidence takes from the time you find it until the case is closed or goes to court?",rules of evidence ,law of probability ,chain of custody ,policy of separation ,,,,chain of custody 
Question #4 Topic 1 ,How many characters long is the fixed-length MD5 algorithm checksum of a critical system file?,128 ,64 ,32 ,16 ,,,,32 
Question #5 Topic 1 ,"You are working on a thesis for your doctorate degree in Computer Science. Your thesis is based on HTML, DHTML, and other web-based languages and how they have evolved over the years.
You navigate to archive. org and view the HTML code of news.com. You then navigate to the current news.com website and copy over the source code. While searching through the code, you come across something abnormal: What have you found?",Web bug ,CGI code ,Trojan.downloader ,Blind bug ,,,,Web bug 
Question #6 Topic 1 ,"You are using DriveSpy, a forensic tool and want to copy 150 sectors where the starting sector is 1709 on the primary hard drive. Which of the following formats correctly specifies these sectors?","0:1000, 150 ","0:1709, 150 ","1:1709, 150 ",0:1709-1858 ,,,,"0:1709, 150 "
Question #7 Topic 1 ,"A honey pot deployed with the IP 172.16.1.108 was compromised by an attacker. Given below is an excerpt from a Snort binary capture of the attack. Decipher the activity carried out by the attacker by studying the log. Please note that you are required to infer only what is explicit in the excerpt.
(Note: The student is being tested on concepts learnt during passive OS fingerprinting, basic TCP/IP connection concepts and the ability to read packet signatures from a sniff dump.)
03/15-20:21:24.107053 211.185.125.124:3500 -> 172.16.1.108:111
TCP TTL:43 TOS:0x0 ID:29726 IpLen:20 DgmLen:52 DF
***A**** Seq: 0x9B6338C5 Ack: 0x5820ADD0 Win: 0x7D78 TcpLen: 32
TCP Options (3) => NOP NOP TS: 23678634 2878772 =+=+=+=+=+=+=+=+=+=+=+=+=+=
+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=
03/15-20:21:24.452051 211.185.125.124:789 -> 172.16.1.103:111
UDP TTL:43 TOS:0x0 ID:29733 IpLen:20 DgmLen:84

Len: 64 -
01 0A 8A 0A 00 00 00 00 00 00 00 02 00 01 86 A0 . .............
00 00 00 02 00 00 00 03 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 01 86 B8 00 00 00 01 . ..............
00 00 00 11 00 00 00 00 ........
=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=
03/15-20:21:24.730436 211.185.125.124:790 -> 172.16.1.103:32773
UDP TTL:43 TOS:0x0 ID:29781 IpLen:20 DgmLen:1104

Len: 1084 -
47 F7 9F 63 00 00 00 00 00 00 00 02 00 01 86 B8",The attacker has conducted a network sweep on port 111 ,The attacker has scanned and exploited the system using Buffer Overflow ,The attacker has used a Trojan on port 32773 ,The attacker has installed a backdoor ,,,,The attacker has conducted a network sweep on port 111 
Question #8 Topic 1 ,The newer Macintosh Operating System is based on:,OS/2 ,BSD Unix ,Linux ,Microsoft Windows ,,,,BSD Unix 
Question #9 Topic 1 ,"Before you are called to testify as an expert, what must an attorney do first?",engage in damage control ,prove that the tools you used to conduct your examination are perfect ,read your curriculum vitae to the jury ,qualify you as an expert witness ,,,,qualify you as an expert witness 
Question #10 Topic 1 ,"You are contracted to work as a computer forensics investigator for a regional bank that has four 30 TB storage area networks that store customer data.
What method would be most efficient for you to acquire digital evidence from this network?",create a compressed copy of the file with DoubleSpace ,create a sparse data copy of a folder or file ,make a bit-stream disk-to-image file ,make a bit-stream disk-to-disk file ,,,,make a bit-stream disk-to-image file 
